date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-06,MA,5,522.53,2559.65,2.5195,0.0,Risk Assets,1,false
2025-01-06,AVGO,12,233.59,2836.92,2.7925,0.0,Risk Assets,1,false
2025-01-06,ANET,26,112.48,3093.48,3.045,0.0,Risk Assets,1,false
2025-01-06,LOW,12,248.12,2996.88,2.9499,0.0,Risk Assets,1,false
2025-01-06,GOOG,15,192.72,2969.4,2.9229,0.0,Risk Assets,1,false
2025-01-06,XRP,1249,2.4,3024.08,2.9767,0.0,Unknown,1,false
2025-01-06,AMZN,13,222.5,2958.93,2.9126,0.0,Risk Assets,1,false
2025-01-06,NFLX,3,893.13,2645.37,2.6039,0.0,Risk Assets,1,false
2025-01-06,HON,13,225.98,2882.62,2.8375,0.0,Risk Assets,1,false
2025-01-06,BA,17,171.4,2903.26,2.8578,0.0,Risk Assets,1,false
2025-01-06,GOOGL,15,191.37,2953.05,2.9068,0.0,Risk Assets,1,false
2025-01-06,DAI,3000,1.0,3000.0,2.953,0.0,High Beta,1,false
2025-01-06,AAPL,12,243.36,2940.0,2.8939,0.0,Risk Assets,1,false
2025-01-06,DIS,27,111.37,2998.35,2.9514,0.0,Risk Assets,1,false
2025-01-07,SPHB,33,89.17,3001.68,2.9971,0.0,High Beta,1,false
2025-01-07,PFE,112,26.7,3038.56,3.0339,0.0,Risk Assets,1,false
2025-01-07,TSLA,7,381.48,2760.52,2.7563,0.0,Risk Assets,1,false
2025-01-07,SOL,14,208.1,2829.82,2.8255,0.0,Unknown,1,false
2025-01-07,RKLB,120,25.02,3354.0,3.3488,0.0,Risk Assets,1,false
2025-01-07,CSCO,50,58.84,2946.5,2.942,0.0,Risk Assets,1,false
2025-01-07,COST,3,914.33,2764.11,2.7599,0.0,Risk Assets,1,false
2025-01-07,NOW,2,1059.3,2108.3,2.1051,0.0,Risk Assets,1,false
2025-01-07,CRM,9,332.1,2924.37,2.9199,0.0,Unknown,1,false
2025-01-07,CRWD,8,349.23,2879.44,2.875,0.0,Risk Assets,1,false
2025-01-07,NVDA,21,140.01,2942.94,2.9384,0.0,Risk Assets,1,false
2025-01-07,AMT,16,181.25,2834.72,2.8304,0.0,Risk Assets,1,false
2025-01-07,XLY,22,222.64,4892.36,4.8848,0.0,Cyclicals,1,false
2025-01-07,WMT,33,90.15,2996.73,2.9921,0.0,Risk Assets,1,false
2025-01-07,MSFT,7,421.08,2956.59,2.952,0.0,Risk Assets,1,false
2025-01-07,CME,12,231.64,2724.12,2.7199,0.0,Risk Assets,1,false
2025-01-07,COP,29,100.62,2948.43,2.9439,0.0,Risk Assets,1,false
2025-01-07,KO,48,61.9,2920.32,2.9158,0.0,Risk Assets,1,false
2025-01-07,APH,43,69.45,3072.78,3.068,0.0,Risk Assets,1,false
2025-01-07,JPM,12,243.89,2918.04,2.9135,0.0,Risk Assets,1,false
2025-01-07,MA,5,522.53,2557.0,2.5531,0.0,Risk Assets,1,false
2025-01-07,AVGO,12,233.59,2743.68,2.7395,0.0,Risk Assets,1,false
2025-01-07,ANET,26,112.48,2997.54,2.9929,0.0,Risk Assets,1,false
2025-01-07,LOW,12,248.12,2958.84,2.9543,0.0,Risk Assets,1,false
2025-01-07,GOOG,15,192.72,2950.65,2.9461,0.0,Risk Assets,1,false
2025-01-07,XRP,1249,2.4,2836.35,2.832,0.0,Unknown,1,false
2025-01-07,AMZN,13,222.5,2887.43,2.883,0.0,Risk Assets,1,false
2025-01-07,NFLX,3,893.13,2637.57,2.6335,0.0,Risk Assets,1,false
2025-01-07,HON,13,225.98,2868.19,2.8638,0.0,Risk Assets,1,false
2025-01-07,BA,17,171.4,2932.67,2.9282,0.0,Risk Assets,1,false
2025-01-07,GOOGL,15,191.37,2932.35,2.9278,0.0,Risk Assets,1,false
2025-01-07,DAI,3000,1.0,3000.0,2.9954,0.0,High Beta,1,false
2025-01-07,AAPL,12,243.36,2906.52,2.902,0.0,Risk Assets,1,false
2025-01-07,DIS,27,111.37,3007.53,3.0029,0.0,Risk Assets,1,false
2025-01-08,SPHB,33,89.17,2978.58,2.9717,0.0,High Beta,1,false
2025-01-08,PFE,112,26.7,3008.32,3.0014,0.0,Risk Assets,1,false
2025-01-08,TSLA,7,381.48,2764.58,2.7582,0.0,Risk Assets,1,false
2025-01-08,SOL,14,208.1,2763.88,2.7575,0.0,Unknown,1,false
2025-01-08,RKLB,120,25.02,3283.2,3.2756,0.0,Risk Assets,1,false
2025-01-08,CSCO,50,58.84,2960.0,2.9532,0.0,Risk Assets,1,false
